
 id 	name 	crosscomb 	orig 	year 	breeder c id 	name 	crosscomb 	orig 	year 	breeder code 	breeder 	reference
9 	 find progeny of 2-71.696 N       2-71.696 N 	92/60 N x GU 62.1735 	 DDR 				
11 	 find progeny of 2-73.4312 N       2-73.4312 N 	4-62.48/441 x ASTILLA 	 DDR 				
44 	 find progeny of 20-2       20-2 	1-65.209/102 B x 1-63.407/119 B 	 SU 				
269 	 find progeny of 2048C(8)       2048C(8) 	11-79 x PENTLAND ACE 	 GB 			SCOTTISH PLANT BREEDING STATION 	
144 	 find progeny of 205(1)       205(1) 	(cmm x dms) x 11(13) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
270 	 find progeny of 2054-64       2054-64 	1560-60 x AMBASSADEUR 	 SU 				
271 	 find progeny of 2064-9       2064-9 	OLEV x NEMESHAEVSKY] 	 SU 				
145 	 find progeny of 208(1)       208(1) 	(cmm x dms) x (mag x edn) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
45 	 find progeny of 21/58-27       21/58-27 	EPOKA x adg 	 POL 				
272 	 find progeny of 2102/77/2698       2102/77/2698 	52/72/2206 x GRANDIFOLIA 	 BRD 		BM 77-2102 		
273 	 find progeny of 2168E(3)       2168E(3) 	1584C(10) x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
274 	 find progeny of 2182EF(7)       2182EF(7) 	1686B(4) x 11-79 	 GB 			SCOTTISH PLANT BREEDING STATION 	
275 	 find progeny of 2192(1)       2192(1) 	SOUTHESK x CPC 979 (phu) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
46 	 find progeny of 22       22 	adg x CENTIFOLIA 	 SU 				
47 	 find progeny of 22-8       22-8 	(dms x (IRISH COBBLER x KATAHDIN)) x MAJESTIC 	 CAN 				
276 	 find progeny of 2201(174)       2201(174) 	CPC 1673 (adg) x CPC 1673 (adg) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
277 	 find progeny of 2203(10)       2203(10) 	CPC 1690 (adg) x CPC 1690 (adg) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
278 	 find progeny of 2213/43       2213/43 	EDELGARD x ACKERSEGEN 	 BRD 				
279 	 find progeny of 2221B(1)       2221B(1) 	PENTLAND ACE x 1592C(11) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
146 	 find progeny of 223/62       223/62 	MPI 55.957/65 x FLAVA 	 BRD 				
280 	 find progeny of 2242-3       2242-3 	dms hybrid 	 SU 				
281 	 find progeny of 2266BC(58)       2266BC(58) 	2201(174) x PENTLAND ACE 	 GB 			SCOTTISH PLANT BREEDING STATION 	
403 	 find progeny of 22731       22731 	LU. 58.1642/4 synonym 	  				
282 	 find progeny of 2285/44       2285/44 	SABINA x VORAN 	 BRD 				
283 	 find progeny of 2288A(2)       2288A(2) 	2192(1) x AQUILA 	 GB 			SCOTTISH PLANT BREEDING STATION 	
